practice_code,practice_name
D81070,WOODLANDS SURGERY
D81073,WESTWOOD CLINIC
D81078,MAPLE SURGERY BAR HILL HEALTH CENTRE
D81081,GREAT STAUGHTON SURGERY
D81082,ALMOND ROAD SURGERY
D81084,WILLINGHAM MEDICAL PRACTICE
D81085,PAPWORTH SURGERY
D81086,EAST BARNWELL HEALTH CENTRE
D81603,RIVERSIDE PRACTICE
D81606,RIVERPORT MEDICAL PRACTICE
D81607,SWAVESEY SURGERY
D81611,FENLAND GROUP PRACTICE
D81612,MILTON SURGERY
D81615,THORPE ROAD
D81618,AILSWORTH MEDICAL CENTRE
D81622,TRINITY SURGERY
D81625,THISTLEMOOR MEDICAL CENTRE
D81629,WILLOW TREE SURGERY
D81630,HAMPTON MEDICAL CENTRE
D81631,CENTRAL MEDICAL CENTRE
D81633,ACORN SURGERY
D81637,MONKFIELD MEDICAL PRACTICE
D81645,THE GRANGE MEDICAL CENTRE
D82001,HOLT MEDICAL PRACTICE
D82002,GROVE SURGERY
D82003,BEACHES MEDICAL CENTRE
D82004,CROMER GROUP PRACTICE
D82005,SHERINGHAM MEDICAL PRACTICE
D82006,CHET VALLEY MEDICAL PRACTICE
D82007,EAST NORFOLK MEDICAL PRACTICE
D82008,ST STEPHENS GATE MEDICAL PARTNERSHIP
D82009,STALHAM STAITHE SURGERY
D82010,GRIMSTON MEDICAL CENTRE
D82011,CASTLE PARTNERSHIP
D82012,MAGDALEN MEDICAL PRACTICE
D82013,OLD CATTON MEDICAL PRACTICE
D82015,BRIDGE STREET SURGERY
D82016,MARKET SURGERY
D82017,TRINITY & BOWTHORPE MEDICAL PRACTICE
D82018,HELLESDON MEDICAL PRACTICE
D82019,THE MILLWOOD PARTNERSHIP
D82020,ORCHARD SURGERY
D82022,LAWNS PRACTICE
D82023,ROUNDWELL MEDICAL CENTRE
D82024,MARRIOTT'S MEDICAL PRACTICES
D82025,HOVETON & WROXHAM MEDICAL CENTRE
D82026,LAKENHAM SURGERY
D82027,HEACHAM GROUP PRACTICE
D82028,LUDHAM AND STALHAM GREEN SURGERIES
D82029,DRAYTON MEDICAL PRACTICE
D82030,REEPHAM & AYLSHAM MEDICAL PRACTICE
D82031,PARISH FIELDS PRACTICE
D82032,BRUNDALL MEDICAL PARTNERSHIP
D82034,ATTLEBOROUGH SURGERY
D82035,UPWELL HEALTH CENTRE
D82036,OLD MILL AND MILLGATES MEDICAL PRACTICE
D82037,LONG STRATTON MEDICAL PARTNERSHIP
D82038,WELLS HEALTH CENTRE
D82039,MATTISHALL AND LENWADE SURGERIES
D82040,WENSUM VALLEY MEDICAL PRACTICE
D82041,SCHOOL LANE SURGERY
D82042,E HARLING & KENNINGHALL MEDICAL PRACTICE
D82043,WATLINGTON MEDICAL CENTRE
D82044,VIDA HEALTHCARE
D82045,WYMONDHAM MEDICAL PARTNERSHIP
D82046,CHURCH HILL SURGERY
D82047,OAK STREET MEDICAL PRACT.
D82048,THORPEWOOD MEDICAL GROUP
D82049,LITCHAM HEALTH CENTRE
D82050,THEATRE ROYAL SURGERY
D82051,ST JAMES MEDICAL PRACTICE
D82053,MUNDESLEY MEDICAL CENTRE
D82054,FAKENHAM MEDICAL PRACTICE
D82056,ELMHAM SURGERY
D82057,CAMPINGLAND SURGERY
D82058,COASTAL VILLAGES PRACTICE
D82059,BIRCHWOOD MEDICAL PRACTICE
D82062,COLTISHALL MEDICAL PRACTICE
D82063,WATTON MEDICAL PRACTICE
D82064,HUMBLEYARD PRACTICE
D82065,MANOR FARM MEDICAL CENTRE
D82066,PASTON SURGERY
D82067,THE PARK SURGERY
D82068,HOWDALE SURGERY
D82070,GREAT MASSINGHAM SURGERY
D82071,EAST NORWICH MEDICAL PARTNERSHIP
D82072,BURNHAM SURGERY
D82073,THE LIONWOOD MEDICAL PRACTICE
D82076,LAWSON ROAD SURGERY
D82078,HEATHGATE MEDICAL PRACTICE
D82079,FELTWELL SURGERY
D82080,BLOFIELD SURGERY
D82084,HARLESTON MEDICAL PRACTICE
D82085,HINGHAM SURGERY
D82087,PROSPECT MEDICAL PRACTICE
D82088,UEA MEDICAL CENTRE
D82096,WOODCOCK RD SURGERY
D82099,SOUTHGATES SURGICAL & MEDICAL CENTRE
D82100,SHIPDHAM SURGERY
D82104,ACLE MEDICAL PARTNERSHIP
D82105,ST CLEMENTS SURGERY
D82106,WEST POTTERGATE MED PRAC
D82600,FLEGGBURGH SURGERY
D82604,BOUGHTON SURGERY
D82618,THE WOOTTONS SURGERY
D82621,PLOWRIGHT MEDICAL CENTRE
D82624,WINDMILL SURGERY
D82628,ALDBOROUGH SURGERY
D82643,SPECIALIST PALLIATIVE CARE SERVICES
D83001,CONSTABLE COUNTRY RURAL MEDICAL PRACTICE
D83002,ALEXANDRA & CRESTVIEW SURGERIES
D83003,WICKHAMBROOK SURGERY
D83004,FELIXSTOWE ROAD MEDICAL PRACTICE
D83005,ANGEL HILL SURGERY
D83006,BILDESTON HEALTH CENTRE
D83007,IXWORTH SURGERY
D83008,BURLINGTON PRIMARY CARE
D83009,BECCLES MEDICAL CENTRE
D83010,LONGSHORE SURGERIES
D83011,BRIDGE ROAD SURGERY
D83012,UNITY HEALTHCARE
D83013,THE GUILDHALL AND BARROW SURGERY
D83015,HOWARD HOUSE SURGERY
D83016,VICTORIA ROAD SURGERY
D83017,NEEDHAM MARKET COUNTRY PRACTICE
D83018,MARKET CROSS SURGERY
D83019,MENDLESHAM MEDICAL GROUP
D83020,THE HOLBROOK AND SHOTLEY PRACTICE
D83021,HAVERHILL FAMILY PRACTICE
D83022,SOLE BAY H/C
D83023,HIGH STREET SURGERY
D83024,IVRY STREET MEDICAL PRACTICE
D83026,FRAMLINGHAM SURGERY
D83027,ORCHARD HOUSE SURGERY
D83028,LEISTON SURGERY
D83029,THE ROOKERY MEDICAL CENTRE
D83030,KIRKLEY MILL HEALTH CENTRE
D83033,BOTESDALE HEALTH CENTRE
D83034,BUNGAY MEDICAL CENTRE
D83035,CUTLERS HILL SURGERY
D83037,HADLEIGH HEALTH CENTRE
D83038,MOUNT FARM SURGERY
D83040,VICTORIA SURGERY
D83041,DEBENHAM GROUP PRACTICE
D83043,EYE HEALTH CENTRE
D83044,STOWHEALTH
D83045,LAKENHEATH SURGERY
D83046,TWO RIVERS MEDICAL CENTRE
D83047,ROSEDALE SURGERY
D83048,GROVE MEDICAL CENTRE
D83049,LITTLE ST JOHN STREET SURGERY
D83050,CARDINAL MEDICAL PRACTICE
D83051,THE DERBY ROAD PRACTICE
D83053,SAXMUNDHAM HEALTH CENTRE
D83054,THE PENINSULA PRACTICE
D83055,WOOLPIT HEALTH CENTRE
D83056,HAWTHORN DRIVE SURGERY
D83057,FRAMFIELD HOUSE SURGERY
D83059,BARRACK LANE MEDICAL CENTRE
D83060,HARDWICKE HOUSE GROUP PRACTICE
D83061,WICKHAM MARKET MEDICAL CENTRE
D83062,FOREST SURGERY
D83064,GLEMSFORD SURGERY
D83067,OAKFIELD SURGERY
D83069,FRESSINGFIELD MEDICAL CENTRE
D83070,STANTON SURGERY
D83073,DR SOLWAY AND DR ROY PRACTICE
D83074,ORCHARD MEDICAL PRACTICE
D83075,SIAM SURGERY
D83076,CLARE GUILDHALL SURGERY
D83078,THE REYNARD SURGERY
D83079,COMBS FORD SURGERY
D83080,MARTLESHAM SURGERY
D83081,HAVEN HEALTH
D83084,EMBRACE MEDICAL CENTRE
D83608,ANDAMAN SURGERY
D83610,SWAN SURGERY
DXV998,UNIDENTIFIED DOCTORS
E81002,GREENSAND SURGERY (AMPTHILL)
E81003,DR JL HENDERSON & PARTNERS
E81004,SALISBURY HOUSE SURGERY
E81005,BELL HOUSE MEDICAL CENTRE
E81006,STOPSLEY VILLAGE PRACTICE
E81007,HARROLD MEDICAL PRACTICE
E81008,WHEATFIELD SURGERY
E81009,WEST STREET SURGERY
E81010,DR WHM MATTA'S PRACTICE
E81012,GREENSANDS (POTTON)
E81013,CASTLE MEDICAL GROUP PRACTICE
E81014,PRIORY GARDENS SURGERY
E81015,FLITWICK SURGERY
E81016,LISTER HOUSE SURGERY
E81018,WOODLAND AVENUE PRACTICE
E81019,LONDON ROAD HEALTH CENTRE
E81021,QUEENS PARK HEALTH CENTRE
E81022,LARKSFIELD AND ARLESEY MEDICAL PRACTICE
E81024,SHARNBROOK SURGERY
E81025,THE OAKLEY SURGERY
E81026,LARKSIDE PRACTICE
E81027,HOUGHTON REGIS MEDICAL CENTRE
E81028,THE BLENHEIM MEDICAL CENTRE
E81029,PUTNOE MEDICAL CENTRE PARTNERSHIP
E81030,CAULDWELL MEDICAL CENTRE
E81031,GREAT BARFORD SURGERY
E81032,LEA VALE MEDICAL PRACTICE
E81033,SHEFFORD HEALTH CENTRE
E81034,TODDINGTON MEDICAL CENTRE
E81035,SANDY HEALTH CENTRE
E81036,IVEL MEDICAL CENTRE
E81037,THE DE PARYS GROUP
E81038,KING STREET SURGERY
E81040,SUNDON MEDICAL CENTRE
E81041,GARDENIA PRACTICE
E81043,MARSTON FOREST HEALTHCARE
E81044,LEIGHTON ROAD SURGERY
E81045,KINGSBURY COURT SURGERY
E81046,DR A SULAKSHANA & PARTNERS
E81047,GOLDINGTON AVENUE SURGERY
E81048,BUTE HOUSE MEDICAL CENTRE
E81049,PRIORY MEDICAL CENTRE
E81050,ASPLANDS MEDICAL CENTRE
E81052,KIRBY ROAD SURGERY
E81057,SAFFRON HEALTH PARTNERSHIP
E81060,LINDEN ROAD SURGERY
E81061,DR CARRAGHER AND NEAL AND AKHTAR
E81063,CONWAY MEDICAL CENTRE
E81069,CADDINGTON SURGERY
E81073,THE MEDICI MEDICAL PRACTICE
E81074,HOUGHTON CLOSE SURGERY
E81076,DR DV SHAH'S PRACTICE
E81612,DRS MIRZA SUKHANI & PARTNERS
E81615,ASHBURNHAM ROAD SURGERY
E81617,DR PS BATH'S PRACTICE
E81631,MALZEARD ROAD PRACTICE
E81632,BARTON HILLS MEDICAL GROUP
E81633,NEVILLE ROAD SURGERY
E81635,EASTGATE SURGERY
E82001,ROTHSCHILD HOUSE GROUP
E82002,WRAFTON HOUSE SURGERY
E82004,HATFIELD ROAD SURGERY
E82005,STANMORE MEDICAL GROUP
E82006,THE LIMES SURGERY
E82007,HANSCOMBE HOUSE SURGERY
E82008,THE NEVELLS ROAD SURGERY
E82009,LINCOLN HOUSE SURGERY
E82012,FAIRBROOK MEDICAL CENTRE
E82013,BRIDGEWATER SURGERIES
E82014,"LODGE,HIGHFIELD & REDBOURN"
E82015,SUTHERGREY HOUSE MEDICAL CENTRE
E82017,GARSTON MEDICAL CENTRE
E82018,LISTER HOUSE SURGERY
E82019,BRIDGE COTTAGE SURGERY
E82020,CONSULTING ROOMS
E82021,MUCH HADHAM HEALTH CENTRE
E82022,FERNVILLE SURGERY
E82023,BURVILL HOUSE SURGERY
E82024,LEA WHARF MEDICAL
E82027,PARKFIELD MEDICAL CENTRE
E82031,MALTINGS SURGERY
E82032,BENNETTS END SURGERY
E82035,KNEBWORTH & MARYMEAD PRACTICE
E82037,VILLAGE SURGERY
E82038,THE BUNTINGFORD & PUCKERIDGE MED PRAC.
E82040,PEARTREE LANE SURGERY
E82041,THE GARDEN CITY PRACTICE
E82042,ABBEY ROAD SURGERY
E82043,SCHOPWICK SURGERY
E82044,THE PORTMILL SURGERY
E82045,WATFORD HEALTH CENTRE
E82046,VINE HOUSE HEALTH CENTRE
E82050,GROVE HILL MEDICAL CENTRE
E82051,EVEREST HOUSE SURGERY
E82053,BANCROFT MEDICAL CENTRE
E82055,MIDWAY SURGERY
E82056,SHEPHALL HEALTH CENTRE
E82058,POTTERELLS MEDICAL CENTRE
E82059,GRANGE STREET SURGERY
E82060,PARKBURY HOUSE SURGERY
E82061,AMWELL SURGERY
E82062,HALL GROVE GROUP PRACTICE
E82063,THE MAPLES
E82066,HAVERFIELD SURGERY
E82067,CHURCH STREET PARTNERSHIP
E82068,GADE AND CHORLEYWOOD HEALTH CENTRES
E82069,THE ELMS SURGERY
E82070,WOODHALL FARM MEDICAL CTR
E82071,ELMS MEDICAL PRACTICE
E82073,MANOR VIEW PRACTICE
E82074,SOUTH STREET SURGERY
E82075,REGAL CHAMBERS SURGERY
E82077,DAVENPORT HOUSE SURGERY
E82078,HIGHVIEW MEDICAL CENTRE
E82079,CROMWELL MEDICAL CENTRE
E82081,CUFFLEY AND GOFFS OAK MEDICAL PRACTICE
E82082,THE BIRCHWOOD AND SOLLERSHOTT SURGERIES
E82083,THE COLNE PRACTICE
E82084,HARVEY GROUP PRACTICE
E82085,THE RED HOUSE GROUP
E82086,KING GEORGE & MANOR HOUSE SURGERIES
E82088,HAILEY VIEW SURGERY
E82090,PARK LANE SURGERY
E82091,PARKWOOD SURGERY
E82092,DOLPHIN HOUSE SURGERY
E82093,BEDWELL MEDICAL CENTRE
E82094,THE MANOR STREET SURGERY
E82096,SHEEPCOT MEDICAL CENTRE
E82098,ANNANDALE MEDICAL CENTRE
E82099,THE BALDOCK SURGERY
E82100,CENTRAL SURGERY
E82102,NEW RIVER HEALTH
E82105,ABBOTSWOOD MEDICAL CENTRE
E82106,NEW ROAD SURGERY
E82107,SUMMERFIELD HEALTH CENTRE
E82111,THE SYMONDS GREEN HEALTH CENTRE
E82113,VERULAM MEDICAL GROUP
E82115,STOCKWELL LODGE MED.CTR.
E82117,THE GROVE MEDICAL CENTRE
E82121,WATTON PLACE CLINIC
E82123,WARDEN LODGE MEDICAL PRACTICE
E82124,ATTENBOROUGH SURGERY
E82129,KINGS LANGLEY SURGERY
E82132,ROYSIA SURGERY
E82133,HIGH STREET SURGERY
E82626,WHITWELL SURGERY
E82638,STANHOPE SURGERY
E82643,ARCHWAY SURGERY
E82652,GOSSOMS END SURGERY
E82654,HELIX MEDICAL CENTRE
E82655,SOUTH OXHEY SURGERY
E82657,LITTLE BUSHEY SURGERY
E82661,THE GARDEN CITY SURGERY
E83003,OAKLEIGH ROAD HEALTH CENTRE
E83005,LICHFIELD GROVE SURGERY
E83006,GREENFIELD MEDICAL CENTRE
E83007,SQUIRES LANE MEDICAL PRACTICE
E83008,HEATHFIELDE MEDICAL CENTRE
E83009,PHGH DOCTORS
E83010,THE SPEEDWELL PRACTICE
E83011,THE EVERGLADE MEDICAL PRACTICE
E83012,THE OLD COURT HOUSE SURGERY
E83013,CORNWALL HOUSE SURGERY
E83016,MILLWAY MEDICAL PRACTICE
E83017,LONGROVE SURGERY
E83018,WATLING MEDICAL CENTRE
E83020,ST. GEORGES MEDICAL CENTRE
E83021,TORRINGTON PARK GROUP PRACTICE
E83024,ST ANDREWS MEDICAL PRACTICE.
E83025,PENNINE DRIVE PRACTICE
E83026,SUPREME MEDICAL CENTRE
E83027,THE PRACTICE AT 188
E83028,PARKVIEW SURGERY
E83030,PENSHURST GARDENS SURGERY
E83031,THE VILLAGE SURGERY
E83032,OAK LODGE MEDICAL CENTRE
E83034,COLNEY HATCH LANE SURGERY
E83035,WENTWORTH MEDICAL PRACTICE.
E83038,JAI MEDICAL CENTRE
E83039,RAVENSCROFT MEDICAL CENTRE
E83041,WAKEMANS HILL SURGERY
E83044,ADDINGTON MEDICAL CENTRE
E83045,FRIERN BARNET MEDICAL CENTRE
E83046,MULBERRY MEDICAL PRACTICE
E83049,LANGSTONE WAY SURGERY
E83050,EAST FINCHLEY MEDICAL CENTRE
E83053,LANE END MEDICAL GROUP
E83600,DRS ADLER AND ROSENBERG
E83613,EAST BARNET HEALTH CENTRE
E83621,BRUNSWICK PARK MEDICAL PRACTICE
E83622,TEMPLE FORTUNE MEDICAL GROUP
E83637,COLINDALE MEDICAL CENTRE LP
E83638,THE MOUNTFIELD SURGERY
E83639,ROSEMARY SURGERY
E83649,THE HODFORD ROAD PRACTICE
E83653,THE PHOENIX PRACTICE
E83668,DR SP TALPAHEWA
E84002,FORTY WILLOWS SURGERY
E84003,PREMIER MEDICAL CENTRE
E84004,THE CIRCLE PRACTICE
E84005,KINGS ROAD SURGERY
E84006,THE LAW MEDICAL GROUP PRACTICE
E84007,UXENDON CRESCENT SURGERY
E84008,SIMPSON HOUSE MEDICAL CENTRE
E84009,ENDERLEY ROAD MEDICAL CENTRE
E84011,ST ANDREWS MEDICAL CENTRE
E84012,MAPESBURY MEDICAL GROUP
E84013,CHURCH END MEDICAL CENTRE
E84014,BACON LANE SURGERY
E84015,WILLOW TREE FAMILY DOCTORS
E84017,SUDBURY & ALPERTON MEDICAL CENTRE
E84018,STREATFIELD HEALTH CENTRE
E84020,JAI MEDICAL CENTRE (BRENT)
E84021,THE WILLESDEN MEDICAL CENTRE
E84022,ROXBOURNE MEDICAL CENTRE
E84024,THE PINN MEDICAL CENTRE
E84025,THE LONSDALE MEDICAL CENTRE
E84028,THE STONEBRIDGE PRACTICE
E84030,PRESTON HILL SURGERY
E84031,BRENTFIELD MEDICAL CENTRE
E84032,ELLIS PRACTICE
E84033,CHALKHILL FAMILY PRACTICE
E84036,GLADSTONE MEDICAL CENTRE
E84039,HONEYPOT MEDICAL CENTRE
E84040,THE PINNER ROAD SURGERY
E84042,KILBURN PARK MEDICAL CENTRE
E84044,THE NORTHWICK SURGERY
E84048,THE FRYENT WAY SURGERY
E84049,BRAMPTON HEALTH CENTRE
E84051,STANLEY CORNER MEDICAL CENTRE
E84053,HATCH END MEDICAL CENTRE
E84057,THE STANMORE MEDICAL CENTRE
E84058,GP DIRECT
E84059,THE ALLENDALE ROAD SURGERY
E84061,ELLIOTT HALL MEDICAL CTR.
E84062,THE SHAFTESBURY MEDICAL CENTRE
E84063,LANCELOT MEDICAL CENTRE
E84066,GP PATHFINDER CLINICS
E84067,CHURCH LANE SURGERY
E84068,THE RIDGEWAY SURGERY
E84069,BELMONT HEALTH CENTRE
E84070,PINNER VIEW MEDICAL CENTRE
E84074,FREUCHEN MEDICAL CENTRE
E84075,MOLLISON WAY SURGERY
E84076,OXGATE GARDENS SURGERY
E84078,KINGSBURY HEALTH AND WELLBEING
E84080,STAVERTON SURGERY
E84083,LANFRANC MEDICAL CENTRE
E84086,WALM LANE SURGERY
E84601,KENTON BRIDGE MEDICAL CENTRE DR GOLDEN
E84617,THE CIVIC MEDICAL CENTRE
E84620,PRESTON ROAD SURGERY
E84626,THE SUNFLOWER MEDICAL CENTRE
E84635,THE SURGERY
E84637,HILLTOP MEDICAL PRACTICE
E84638,ALPERTON MEDICAL CENTRE
E84645,PARK ROYAL MEDICAL PRACTICE
E84646,THE STREATFIELD MEDICAL CENTRE
E84647,KENTON CLINIC
E84653,ZAIN MEDICAL CENTRE
E84656,ROUNDWOOD PARK MEDICAL CENTRE
E84658,ASPRI MEDICAL CENTRE
E84663,KENTON BRIDGE MEDICAL CENTRE - DR RAJA
E84665,NEASDEN MEDICAL CENTRE
E84674,CHICHELE ROAD SURGERY
E84676,HEADSTONE LANE MEDICAL CENTRE
E84678,PRESTON MEDICAL CENTRE
E84680,HEADSTONE ROAD SURGERY
E84684,THE TUDOR HOUSE MEDICAL CENTRE
E84685,SUDBURY SURGERY
E84693,ST. PETER'S MEDICAL CENTRE
E84699,KINGS EDGE MEDICAL CENTRE
E84701,PEARL MEDICAL PRACTICE
E84702,WILLESDEN GREEN SURGERY
E84704,ST.GEORGES MEDICAL CENTRE
E84707,ST LUKE'S HOSPICE
E84709,WEMBLEY PARK MEDICAL CENTRE
E85001,THORNBURY ROAD CENTRE FOR HEALTH
E85003,NORTH END MEDICAL CENTRE
E85004,ALBANY PRACTICE
E85005,"THE SURGERY, DR DASGUPTA & PARTNERS"
E85006,WATERSIDE MEDICAL CENTRE
E85007,ST.MARGARETS PRACTICE
E85008,NORTH FULHAM SURGERY
E85012,KS MEDICAL CENTRE
E85013,WESTSEVEN GP
E85014,NORTHFIELDS SURGERY
E85015,HOUNSLOW MEDICAL CENTRE
E85016,RICHFORD GATE MEDICAL CENTRE
E85019,CROWN STREET SURGERY
E85020,BROOK GREEN MEDICAL CENTRE
E85021,YEADING MEDICAL CENTRE
E85023,CHEPSTOW GARDENS MEDICAL CENTRE
E85024,CARLTON SURGERY
E85025,CASSIDY ROAD MEDICAL CENTRE
E85026,GORDON HOUSE SURGERY
E85028,HILLCREST SURGERY
E85029,"THE MEDICAL CENTRE, DR JEFFERIES & PARTN"
E85030,CHISWICK HEALTH PRACTICE
E85032,ASHCHURCH SURGERY
E85033,HAMMERSMITH SURGERY
E85034,GROSVENOR HOUSE SURGERY
E85035,MOUNT MEDICAL CENTRE
E85038,PALACE SURGERY
E85040,WEST4 GPS
E85041,HANWELL HEALTH CENTRE (NAISH)
E85042,THE NEW SURGERY
E85045,TWICKENHAM PARK MEDICAL CENTRE
E85046,EASTMEAD AVENUE SURGERY
E85048,"DR CANISIUS & DR HASAN, PARKVIEW CFH&W"
E85049,BELMONT MEDICAL CENTRE
E85050,GREENFORD ROAD MED.CTR.
E85051,GREENFORD AVENUE FHP
E85052,CRANFORD MEDICAL CENTRE
E85053,THE MEDICAL CENTRE
E85054,HILLVIEW SURGERY
E85055,THE BUSH DOCTORS
E85056,ST DAVIDS PRACTICE
E85057,QUEENS WALK PRACTICE
E85058,BLUE WING FAMILY DOCTOR UNIT
E85059,CHESTNUT PRACTICE
E85060,KINGFISHER PRACTICE
E85061,WELCOME PRACTICE
E85062,HIYOS
E85064,WEST END SURGERY
E85066,THE BEDFORD PARK SURGERY
E85069,OLDFIELD FAMILY PRACTICE
E85071,CLIFFORD HOUSE MEDICAL CENTRE
E85074,WEST KENSINGTON GP SURGERY
E85075,GP SURGERY @ ACTON GARDENS
E85077,SHEPHERDS BUSH MEDICAL CENTRE
E85083,DR SIVANESAN & PARTNER
E85088,ELMBANK SURGERY
E85090,HAMMOND ROAD SURGERY
E85091,BRUNSWICK SURGERY
E85096,MEDICAL CENTRE
E85098,ISLIP MANOR MEDICAL CENTRE
E85099,THE AVENUE SURGERY
E85103,LADY MARGARET ROAD MEDICAL CENTRE
E85107,THE MILL HILL SURGERY
E85108,MANDEVILLE MEDICAL CENTRE
E85109,THE ACTON HEALTH CENTRE
E85111,PERIVALE MEDICAL CLINIC
E85112,ELMTREES SURGERY
E85113,REDWOOD PRACTICE
E85114,CROSSLANDS SURGERY
E85115,PENTELOW PRACTICE
E85116,THE CUCKOO LANE PRACTICE
E85118,THE FULHAM MEDICAL CENTRE
E85119,THE MWH PRACTICE
E85120,THE ARGYLE SURGERY
E85121,GURU NANAK MEDICAL CENTRE
E85122,THE FLORENCE ROAD SURGERY
E85123,THE CORFTON ROAD SURGERY
E85124,GP AT HAND
E85125,STERNDALE SURGERY
E85126,GREEN PRACTICE
E85127,THE BARNABAS MEDICAL CTRE
E85128,SANDS END HEALTH CLINIC
E85129,THE MANSELL ROAD PRACTICE
E85130,CHISWICK FAMILY PRACTICE
E85600,WILLOW PRACTICE
E85605,BRENTFORD GROUP PRACTICE
E85617,ACTON TOWN MEDICAL CENTRE
E85623,SOMERSET MEDICAL CENTRE
E85624,"DR UPPAL & PARTN, PARKVIEW CTR FOR H&W"
E85628,ELTHORNE PARK SURGERY
E85633,THE SOUTHALL MEDICAL CTR.
E85635,THE VALE SURGERY
E85636,PARK MEDICAL CENTRE
E85640,THE CHURCHFIELD ROAD SURGERY
E85643,MEADOW VIEW
E85649,FULHAM CROSS MEDICAL CENTRE
E85656,SUNRISE MEDICAL CENTRE
E85657,EALING PARK HEALTH CENTRE
E85658,HOLLY ROAD MEDICAL CENTRE
E85659,"DR RK KUKAR, PARKVIEW CTR FOR H&W"
E85663,THE SALUJA CLINIC
E85677,THE HORN LANE SURGERY
E85680,CLOISTER ROAD SURGERY
E85681,JERSEY PRACTICE
E85682,DORMERS WELLS MEDICAL CENTRE
E85683,GLEBE STREET SURGERY
E85685,THE LILYVILLE SURGERY
E85687,ACTON LANE MEDICAL CENTRE
E85693,CHISWICK MEDICAL PRACTICE
E85694,THE BOILEAU ROAD SURGERY
E85696,CLIFFORD ROAD SURGERY
E85697,GREENBROOK BEDFONT
E85699,GROVE VILLAGE MEDICAL CENTRE
E85707,SKYWAYS MEDICAL CENTRE
E85708,GILL MEDICAL PRACTICE
E85712,GOODCARE PRACTICE
E85713,HOUNSLOW FAMILY PRACTICE
E85715,BROADMEAD SURGERY
E85716,BATH ROAD SURGERY
E85718,HATTON MEDICAL PRACTICE
E85719,ASHVILLE SURGERY
E85721,THE TOWN SURGERY
E85725,THE GROVE MEDICAL PRACTICE
E85726,MATTOCK LANE HEALTH CENTRE
E85734,QUEENS PARK MEDICAL PRACTICE
E85735,BRENTFORD FAMILY PRACTICE
E85736,LITTLE PARK SURGERY
E85739,HMC HEALTH HESTON GREAT WEST
E85743,ST.GEORGES MEDICAL CTR.
E85744,ARGYLE HEALTH-ISLEWORTH PRACTICE
E85745,JUBILEE GARDENS MEDICAL CENTRE
E85746,GROVE PARK TERRACE SURGERY
E85748,"THE MEDICAL CENTRE, DR KUKAR"
E85750,SPRING GROVE MEDICAL PRACTICE
E86001,MOUNTWOOD SURGERY
E86004,THE MEDICAL CENTRE
E86005,THE OAKLAND MEDICAL CENTRE
E86006,THE DEVONSHIRE LODGE PRACTICE
E86007,HAREFIELD PRACTICE
E86009,BELMONT MEDICAL CENTRE
E86010,YIEWSLEY FAMILY PRACTICE
E86011,OXFORD DRIVE MEDICAL CENTRE
E86012,WOOD LANE MEDICAL CENTRE
E86014,CEDARS MEDICAL CENTRE
E86015,CENTRAL UXBRIDGE SURGERY
E86016,THE PINE MEDICAL CENTRE
E86017,HAYES MEDICAL CENTRE
E86018,TOWNFIELD DOCTORS SURGERY
E86019,THE WARREN PRACTICE
E86020,YEADING COURT SURGERY
E86022,THE ABBOTSBURY PRACTICE
E86024,KING EDWARDS MEDICAL CENTRE
E86026,PARKVIEW SURGERY
E86027,OTTERFIELD MEDICAL CENTRE
E86028,EASTBURY SURGERY
E86029,CEDAR BROOK PRACTICE
E86030,BRUNEL MEDICAL CENTRE
E86033,ST MARTINS MEDICAL CENTRE
E86034,CHURCH ROAD SURGERY
E86036,HILLINGDON HEALTH CENTRE
E86038,GLENDALE MEDICAL CENTRE
E86041,ACRE SURGERY
E86042,THE HIGH STREET PRACTICE
E86605,LADYGATE LANE MEDICAL PRACTICE
E86609,NORTH HYDE ROAD SURGERY
E86610,WILLOW TREE SURGERY
E86612,SHAKESPEARE HEALTH CENTRE
E86615,ACREFIELD SURGERY
E86618,CAREPOINT PRACTICE
E86619,WALLASEY MEDICAL CENTRE
E86620,WEST LONDON MEDICAL CENTRE
E86625,KINCORA DOCTORS SURGERY
E86626,QUEENS WALK MEDICAL CENTRE
E86629,DR MLR SIDDIQUI'S PRACTICE
E86632,ACORN MEDICAL CENTRE
E86637,HEATHROW MEDICAL CENTRE
E86640,SOUTHCOTE CLINIC
E87002,VICTORIA MEDICAL CENTRE
E87003,NORTH KENSINGTON MEDICAL CENTRE
E87004,HEALTH PARTNERS AT VIOLET MELCHETT
E87005,BELGRAVIA SURGERY
E87006,LITTLE VENICE MEDICAL CENTRE
E87008,PADDINGTON GREEN HEALTH CENTRE
E87009,THE GARWAY MEDICAL PRACTICE
E87010,MAIDA VALE MEDICAL CENTRE
E87011,LISSON GROVE HEALTH CENTRE
E87013,STANHOPE MEWS SURGERY
E87016,HOLLAND PARK SURGERY
E87021,SHIRLAND MEDICAL
E87024,THE GOLBORNE MEDICAL CENTRE
E87026,MEANWHILE GARDEN MEDICAL CENTRE
E87029,PORTLAND ROAD PRACTICE
E87034,PIMLICO HEALTH AT THE MARVEN SURGERY
E87037,CONNAUGHT SQUARE PRACTICE
E87038,ELGIN CLINIC
E87043,EMPEROR'S GATE SURGERY
E87045,COVENT GARDEN MEDICAL CENTRE
E87046,THE RANDOLPH SURGERY
E87047,EARLS COURT MEDICAL CENTRE
